B1200	Кнопка климат-контроля отказ цепи
B1281	Серводвигатель потенциометр холодный воздух обрыв цепи
B1282	Серводвигатель потенциометр холодный воздух КЗ цепи на питание
B1283	Серводвигатель потенциометр холодный воздух КЗ цепи на массу
B1284	Серводвигатель потенциометр Airintake левый отказ цепи
B1285	Серводвигатель потенциометр Airintake левый обрыв цепи
B1286	Серводвигатель потенциометр Airintake левый КЗ цепи на питание
B1287	Серводвигатель потенциометр Airintake левый КЗ цепи на массу
B1288	Серводвигатель потенциометр Airintake правый отказ цепи
B1289	Серводвигатель потенциометр Airintake правый обрыв цепи
B1290	Серводвигатель потенциометр Airintake правый КЗ цепи на питание
B1291	Серводвигатель потенциометр Airintake правый КЗ цепи на массу
B1292	АКБ питание реле отказ цепи
B1293	АКБ питание реле обрыв цепи
B1294	АКБ питание реле КЗ цепи на питание
B1295	АКБ питание реле КЗ цепи на массу
B1296	Питание питание датчик отказ цепи
B1297	Питание питание датчик обрыв цепи
B1298	Питание питание датчик КЗ цепи на питание
B1299	Питание питание датчик КЗ цепи на массу
B1300	Питание дверь Lock отказ цепи
B1301	Питание дверь Lock обрыв цепи
B1302	Accessory Delay обмотка реле отказ цепи
B1303	Accessory Delay обмотка реле обрыв цепи
B1304	Accessory Delay обмотка реле КЗ цепи на питание
B1305	Accessory Delay обмотка реле КЗ цепи на массу
B1306	Масло уровень выключатель обрыв цепи
B1307	Масло уровень выключатель КЗ цепи на питание
B1308	Масло уровень выключатель КЗ цепи на массу
B1309	Питание дверь Lock КЗ цепи на массу
B1310	Питание дверь Unlock отказ цепи
B1311	Питание дверь Unlock обрыв цепи
B1312	Лампа Headlamp вход КЗ цепи на питание
B1313	АКБ Saver обмотка реле отказ цепи
B1314	АКБ Saver обмотка реле обрыв цепи
B1315	АКБ Saver обмотка реле КЗ цепи на питание
B1316	АКБ Saver обмотка реле КЗ цепи на массу
B1317	АКБ напряжение высокий
B1318	АКБ напряжение низкий
B1319	Водителя дверь Ajar отказ цепи
B1320	Водителя дверь Ajar обрыв цепи
B1321	Водителя дверь Ajar КЗ цепи на питание
B1322	Водителя дверь Ajar КЗ цепи на массу
B1323	Дверь Ajar лампа отказ цепи
B1324	Дверь Ajar лампа обрыв цепи
B1325	Дверь Ajar лампа КЗ цепи на питание
B1326	Дверь Ajar лампа КЗ цепи на массу
B1327	Пассажира дверь Ajar отказ цепи
B1328	Пассажира дверь Ajar обрыв цепи
B1329	Пассажира дверь Ajar КЗ цепи на питание
B1330	Пассажира дверь Ajar КЗ цепи на массу
B1331	Decklid Ajar задний дверь отказ цепи
B1332	Decklid Ajar задний дверь обрыв цепи
B1333	Decklid Ajar задний дверь КЗ цепи на питание
B1334	Decklid Ajar задний дверь КЗ цепи на массу
B1335	Дверь Ajar RR отказ цепи
B1336	Дверь Ajar RR обрыв цепи
B1337	Дверь Ajar RR КЗ цепи на питание
B1338	Дверь Ajar RR КЗ цепи на массу
B1339	Chime вход Request КЗ цепи на питание
B1340	Chime вход Request КЗ цепи на массу
B1341	Питание дверь Unlock КЗ цепи на массу
B1342	ECU Defective
B1343	Heated Backlite вход отказ цепи
B1344	Heated Backlite вход обрыв цепи
B1345	Heated Backlite вход КЗ цепи на массу
B1346	Heated Backlite вход КЗ цепи на питание
B1347	Heated Backlite реле отказ цепи
B1348	Heated Backlite реле обрыв цепи
B1349	Heated Backlite реле КЗ на питание
B1350	Heated Backlite реле КЗ на массу
B1351	Зажигание Key-In КЗ цепи на питание
B1352	Зажигание Key-In отказ цепи
B1353	Зажигание Key-In обрыв цепи
B1354	Зажигание Key-In КЗ цепи на массу
B1355	Зажигание Run отказ цепи
B1356	Зажигание Run обрыв цепи
B1357	Зажигание Run КЗ цепи на питание
B1358	Зажигание Run КЗ цепи на массу
B1359	Зажигание Run/Acc отказ цепи
B1360	Зажигание Run/Acc обрыв цепи
B1361	Зажигание Run/Acc КЗ цепи на питание
B1362	Зажигание Run/Acc КЗ цепи на массу
B1363	Зажигание Start отказ цепи
B1364	Зажигание Start обрыв цепи
B1365	Зажигание Start КЗ цепи на питание
B1366	Зажигание Start КЗ цепи на массу
B1367	Зажигание Tach отказ цепи
B1368	Зажигание Tach обрыв цепи
B1369	Зажигание Tach КЗ цепи на питание
B1370	Зажигание Tach КЗ цепи на массу
B1371	Illuminated Entry реле отказ цепи
B1372	Illuminated Entry реле обрыв цепи
B1373	Illuminated Entry реле КЗ на питание
B1374	Illuminated Entry реле КЗ на массу
B1375	Масло Change лампа обрыв цепи
B1376	Масло Change лампа КЗ цепи на питание
B1377	Масло Change лампа отказ цепи
B1378	Масло Change лампа КЗ цепи на массу
B1379	Масло Change Reset кнопка КЗ цепи на массу
B1380	Масло Change Reset кнопка отказ цепи
B1381	Масло Change Reset кнопка обрыв цепи
B1382	Масло Change Reset кнопка КЗ цепи на питание
B1383	Масло уровень лампа КЗ цепи на питание
B1384	Масло уровень лампа отказ цепи
B1385	Масло уровень лампа обрыв цепи
B1386	Масло уровень лампа КЗ цепи на массу
B1387	Масло датчик температуры обрыв цепи
B1388	Масло датчик температуры КЗ цепи на питание
B1389	Масло датчик температуры отказ цепи
B1390	Масло датчик температуры КЗ цепи на массу
B1391	Масло уровень выключатель отказ цепи
B1392	Питание дверь Memory Lock реле отказ цепи
B1393	Питание дверь Memory Lock реле обрыв цепи
B1394	Питание дверь Memory Lock реле КЗ цепи на питание
B1395	Питание дверь Memory Lock реле КЗ цепи на массу
B1396	Питание дверь Lock КЗ цепи на питание
B1397	Питание дверь Unlock КЗ цепи на питание
B1398	Водителя электростеклоподъёмник One Touch стекло реле отказ цепи
B1399	Водителя электростеклоподъёмник One Touch стекло реле обрыв цепи
B1400	Водителя электростеклоподъёмник One Touch стекло реле КЗ цепи на питание
B1401	Водителя электростеклоподъёмник One Touch стекло реле КЗ цепи на массу
B1402	Водителя электростеклоподъёмник вниз выключатель отказ цепи
B1403	Водителя электростеклоподъёмник вверх выключатель отказ цепи
B1404	Водителя электростеклоподъёмник вниз обрыв цепи
B1405	Водителя электростеклоподъёмник вниз КЗ цепи на питание
B1406	Водителя электростеклоподъёмник вниз КЗ цепи на массу
B1407	Водителя электростеклоподъёмник вверх обрыв цепи
B1408	Водителя электростеклоподъёмник вверх КЗ цепи на питание
B1409	Водителя электростеклоподъёмник вверх КЗ цепи на массу
B1410	Водителя электростеклоподъёмник электродвигатель отказ цепи
B1411	Водителя электростеклоподъёмник электродвигатель обрыв цепи
B1412	Водителя электростеклоподъёмник электродвигатель КЗ цепи на питание
B1413	Водителя электростеклоподъёмник электродвигатель КЗ цепи на массу
B1414	Электростеклоподъёмник LR электродвигатель отказ цепи
B1415	Электростеклоподъёмник LR электродвигатель обрыв цепи
B1416	Электростеклоподъёмник LR электродвигатель КЗ цепи на питание
B1417	Электростеклоподъёмник LR электродвигатель КЗ цепи на массу
B1418	Пассажира электростеклоподъёмник электродвигатель отказ цепи
B1419	Пассажира электростеклоподъёмник электродвигатель обрыв цепи
B1420	Пассажира электростеклоподъёмник электродвигатель КЗ цепи на питание
B1421	Пассажира электростеклоподъёмник электродвигатель КЗ цепи на массу
B1422	Электростеклоподъёмник RR электродвигатель отказ цепи
B1423	Электростеклоподъёмник RR электродвигатель обрыв цепи
B1424	Электростеклоподъёмник RR электродвигатель КЗ цепи на питание
B1425	Электростеклоподъёмник RR электродвигатель КЗ цепи на массу
B1426	Лампа ремень безопасности КЗ цепи на питание
B1427	Лампа ремень безопасности обрыв цепи
B1428	Лампа ремень безопасности отказ цепи
B1429	Лампа ремень безопасности КЗ цепи на массу
B1430	Ремень безопасности выключатель КЗ цепи на массу
B1431	Стеклоочиститель Brake/Run реле отказ цепи
B1432	Стеклоочиститель Brake/Run реле КЗ цепи на питание
B1433	Стеклоочиститель Brake/Run реле КЗ цепи на массу
B1434	Стеклоочиститель Hi/Low скорость обмотка реле отказ цепи
B1435	Стеклоочиститель Hi/Low скорость обмотка реле обрыв цепи
B1436	Стеклоочиститель Hi/Low скорость обмотка реле КЗ цепи на питание
B1437	Стеклоочиститель Hi/Low скорость обмотка реле КЗ цепи на массу
B1438	Стеклоочиститель Mode Select выключатель отказ цепи
B1439	Стеклоочиститель Mode Select выключатель обрыв цепи
B1440	Стеклоочиститель Mode Select выключатель КЗ цепи на питание
B1441	Стеклоочиститель Mode Select выключатель КЗ цепи на массу
B1442	Дверь Handle выключатель отказ цепи
B1443	Дверь Handle выключатель обрыв цепи
B1444	Дверь Handle выключатель КЗ цепи на питание
B1445	Дверь Handle выключатель КЗ цепи на массу
B1446	Стеклоочиститель Park Sense отказ цепи
B1447	Стеклоочиститель Park Sense обрыв цепи
B1448	Стеклоочиститель Park Sense КЗ цепи на питание
B1449	Стеклоочиститель Park Sense КЗ цепи на массу
B1450	Стеклоочиститель Wash/Delay выключатель отказ цепи
B1451	Стеклоочиститель Wash/Delay выключатель обрыв цепи
B1452	Стеклоочиститель Wash/Delay выключатель КЗ цепи на питание
B1453	Стеклоочиститель Wash/Delay выключатель КЗ цепи на массу
B1454	Омыватель стеклоочистителя жидкость лампа отказ цепи
B1455	Омыватель стеклоочистителя жидкость лампа обрыв цепи
B1456	Омыватель стеклоочистителя жидкость лампа КЗ цепи на питание
B1457	Омыватель стеклоочистителя жидкость лампа КЗ цепи на массу
B1458	Омыватель стеклоочистителя насос электродвигатель реле отказ цепи
B1459	Омыватель стеклоочистителя насос электродвигатель обмотка реле обрыв цепи
B1460	Омыватель стеклоочистителя насос электродвигатель обмотка реле КЗ цепи на питание
B1461	Омыватель стеклоочистителя насос электродвигатель обмотка реле КЗ цепи на массу
B1462	Ремень безопасности выключатель отказ цепи
B1463	Ремень безопасности выключатель обрыв цепи
B1464	Ремень безопасности выключатель КЗ цепи на питание
B1465	Стеклоочиститель Brake/Run реле обрыв цепи
B1466	Стеклоочиститель Hi/Low скорость Not Switching
B1467	Стеклоочиститель Hi/Low скорость цепь электродвигатель КЗ на питание
B1468	Chime вход Request отказ цепи
B1469	Chime вход Request обрыв цепи
B1470	Лампа Headlamp вход отказ цепи
B1471	Лампа Headlamp вход обрыв цепи
B1472	Лампа Headlamp вход КЗ цепи на массу
B1473	Стеклоочиститель низкий скорость цепь электродвигатель отказ
B1474	АКБ Saver питание реле КЗ цепи на питание
B1475	Accessory Delay реле Contact КЗ на питание
B1476	Стеклоочиститель высокий скорость цепь электродвигатель отказ
B1477	Стеклоочиститель Hi/Low цепь электродвигатель КЗ на массу
B1478	Электростеклоподъёмник One Touch Up/Down Activated Simultaneously
B1479	Омыватель стеклоочистителя жидкость датчик уровня отказ цепи
B1480	Омыватель стеклоочистителя жидкость датчик уровня обрыв цепи
B1481	Омыватель стеклоочистителя жидкость датчик уровня КЗ цепи на питание
B1482	Омыватель стеклоочистителя жидкость датчик уровня КЗ цепи на массу
B1483	Тормоз Pedal вход отказ цепи
B1484	Тормоз Pedal вход обрыв цепи
B1485	Тормоз Pedal вход цепь АКБ КЗ
B1486	Тормоз Pedal вход цепь масса КЗ
B1487	Дверь Handle правый передний отказ цепи
B1488	Дверь Handle правый передний обрыв цепи
B1489	Дверь Handle правый передний КЗ на питание
B1490	Дверь Handle правый передний КЗ на массу
B1491	Зажигание цилиндр датчик отказ цепи
B1492	Зажигание цилиндр датчик обрыв цепи
B1493	Зажигание цилиндр датчик АКБ КЗ
B1494	Зажигание цилиндр датчик масса КЗ
B1495	Decklid Punch-Out датчик отказ цепи
B1496	Decklid Punch-Out датчик обрыв цепи
B1497	Decklid Punch-Out датчик АКБ КЗ
B1498	Decklid Punch-Out датчик масса КЗ
B1499	Лампа Turn сигнал левый отказ цепи
B1500	Лампа Turn сигнал левый обрыв цепи
B1501	Лампа Turn сигнал левый КЗ цепи на питание
B1502	Лампа Turn сигнал левый КЗ цепи на массу
B1503	Лампа Turn сигнал правый отказ цепи
B1504	Лампа Turn сигнал правый обрыв цепи
B1505	Лампа Turn сигнал правый КЗ цепи на питание
B1506	Лампа Turn сигнал правый КЗ цепи на массу
B1507	Flash на Pass выключатель отказ цепи
B1508	Flash на Pass выключатель обрыв цепи
B1509	Flash на Pass выключатель КЗ цепи на питание
B1510	Flash на Pass выключатель КЗ цепи на массу
B1511	Водителя дверь Handle отказ цепи
B1512	Водителя дверь Handle обрыв цепи
B1513	Водителя дверь Handle КЗ цепи на питание
B1514	Водителя дверь Handle КЗ цепи на массу
B1515	Сиденье водителя Occupied выключатель отказ цепи
B1516	Сиденье водителя Occupied выключатель обрыв цепи
B1517	Сиденье водителя Occupied выключатель КЗ цепи на питание
B1518	Сиденье водителя Occupied выключатель КЗ цепи на массу
B1519	Hood выключатель отказ цепи
B1520	Hood выключатель обрыв цепи
B1521	Hood выключатель КЗ цепи на питание
B1522	Hood выключатель КЗ цепи на массу
B1523	Keyless Entry отказ цепи
B1524	Keyless Entry обрыв цепи
B1525	Keyless Entry КЗ цепи на питание
B1526	Keyless Entry КЗ цепи на массу
B1527	Memory Set выключатель отказ цепи
B1528	Memory Set выключатель обрыв цепи
B1529	Memory Set выключатель КЗ цепи на питание
B1530	Memory Set выключатель КЗ цепи на массу
B1531	Memory 1 выключатель отказ цепи
B1532	Memory 1 выключатель обрыв цепи
B1533	Memory 1 выключатель КЗ цепи на питание
B1534	Memory 1 выключатель КЗ цепи на массу
B1535	Memory 2 выключатель отказ цепи
B1536	Memory 2 выключатель обрыв цепи
B1537	Memory 2 выключатель КЗ цепи на питание
B1538	Memory 2 выключатель КЗ цепи на массу
B1539	Зеркало водителя выключатель узел отказ цепи
B1540	Зеркало водителя выключатель узел обрыв цепи
B1541	Зеркало водителя выключатель узел КЗ цепи на питание
B1542	Зеркало водителя выключатель узел КЗ цепи на массу
B1543	Сиденье Direction выключатель узел отказ цепи
B1544	Сиденье Direction выключатель узел обрыв цепи
B1545	Сиденье Direction выключатель узел КЗ цепи на питание
B1546	Сиденье Direction выключатель узел КЗ цепи на массу
B1547	Электростеклоподъёмник Master отказ цепи
B1548	Электростеклоподъёмник Master обрыв цепи
B1549	Электростеклоподъёмник Master КЗ цепи на питание
B1550	Электростеклоподъёмник Master КЗ цепи на массу
B1551	Decklid Release отказ цепи
B1552	Decklid Release обрыв цепи
B1553	Decklid Release КЗ цепи на питание
B1554	Decklid Release КЗ цепи на массу
B1555	Зажигание Run/Start отказ цепи
B1556	Зажигание Run/Start обрыв цепи
B1557	Зажигание Run/Start КЗ цепи на питание
B1558	Зажигание Run/Start КЗ цепи на массу
B1559	Дверь Lock цилиндр отказ цепи
B1560	Дверь Lock цилиндр обрыв цепи
B1561	Дверь Lock цилиндр КЗ цепи на питание
B1562	Дверь Lock цилиндр КЗ цепи на массу
B1563	Дверь Ajar отказ цепи
B1564	Дверь Ajar обрыв цепи
B1565	Дверь Ajar КЗ цепи на питание
B1566	Дверь Ajar КЗ цепи на массу
B1567	Лампа Headlamp High-Beam отказ цепи
B1568	Лампа Headlamp High-Beam обрыв цепи
B1569	Лампа Headlamp High-Beam КЗ цепи на питание
B1570	Лампа Headlamp High-Beam КЗ цепи на массу
B1571	Дверь Ajar LR отказ цепи
B1572	Дверь Ajar LR обрыв цепи
B1573	Дверь Ajar LR КЗ цепи на питание
B1574	Дверь Ajar LR КЗ цепи на массу
B1575	Лампа Park вход отказ цепи
B1576	Лампа Park вход обрыв цепи
B1577	Лампа Park вход КЗ цепи на питание
B1578	Лампа Park вход КЗ цепи на массу
B1579	Диммер панели Increase вход отказ цепи
B1580	Диммер панели Increase вход обрыв цепи
B1581	Диммер панели Increase вход КЗ цепи на питание
B1582	Диммер панели Increase вход КЗ цепи на массу
B1583	Диммер панели Decrease вход отказ цепи
B1584	Диммер панели Decrease вход обрыв цепи
B1585	Диммер панели Decrease вход КЗ цепи на питание
B1586	Диммер панели Decrease вход КЗ цепи на массу
B1587	Autolamp Delay Increase отказ цепи
B1588	Autolamp Delay Increase обрыв цепи
B1589	Autolamp Delay Increase КЗ цепи на питание
B1590	Autolamp Delay Increase КЗ цепи на массу
B1591	Autolamp Delay Decrease отказ цепи
B1592	Autolamp Delay Decrease обрыв цепи
B1593	Autolamp Delay Decrease КЗ цепи на питание
B1594	Autolamp Delay Decrease КЗ цепи на массу
B1595	Зажигание выключатель Illegal вход Code
B1596	Service Continuous Codes
B1600	PATS зажигание Key Transponder сигнал Not Received
B1601	PATS Received некорректный Key-Code от зажигание Key Transponder
B1602	PATS Received неверный Format Key-Code от зажигание Key Transponder
B1603	Лампа противоугонная система индикатор отказ цепи
B1604	Лампа противоугонная система индикатор обрыв цепи
B1605	Лампа противоугонная система индикатор КЗ цепи на питание
B1606	Лампа противоугонная система индикатор КЗ цепи на массу
B1607	Illuminated Entry вход отказ цепи
B1608	Illuminated Entry вход обрыв цепи
B1609	Illuminated Entry вход КЗ на питание
B1610	Illuminated Entry вход КЗ на массу
B1611	Стеклоочиститель задний Mode Select выключатель отказ цепи
B1612	Стеклоочиститель задний Mode Select выключатель обрыв цепи
B1613	Стеклоочиститель задний Mode Select выключатель КЗ цепи на питание
B1614	Стеклоочиститель задний Mode Select выключатель КЗ цепи на массу
B1615	Стеклоочиститель задний Disable выключатель отказ цепи
B1616	Стеклоочиститель задний Disable выключатель обрыв цепи
B1617	Стеклоочиститель задний Disable выключатель КЗ цепи на питание
B1618	Стеклоочиститель задний Disable выключатель КЗ цепи на массу
B1619	Стеклоочиститель задний низкий Limit вход отказ цепи
B1620	Стеклоочиститель задний низкий Limit вход обрыв цепи
B1621	Стеклоочиститель задний низкий Limit вход КЗ цепи на питание
B1622	Стеклоочиститель задний низкий Limit вход КЗ цепи на массу
B1623	Лампа Keypad выход отказ цепи
B1624	Лампа Keypad выход обрыв цепи
B1625	Лампа Keypad выход КЗ на питание
B1626	Лампа Keypad выход КЗ на массу
B1627	PRNDL Reverse вход отказ цепи
B1628	PRNDL Reverse вход обрыв цепи
B1629	PRNDL Reverse вход КЗ на питание
B1630	PRNDL Reverse вход КЗ на массу
B1631	Зеркало водителя левый отказ цепи
B1632	Зеркало водителя левый обрыв цепи
B1633	Зеркало водителя левый КЗ цепи на питание
B1634	Зеркало водителя левый КЗ цепи на массу
B1635	Зеркало водителя правый отказ цепи
B1636	Зеркало водителя правый обрыв цепи
B1637	Зеркало водителя правый КЗ цепи на питание
B1638	Зеркало водителя правый КЗ на массу
B1639	Зеркало пассажира левый отказ цепи
B1640	Зеркало пассажира левый обрыв цепи
B1641	Зеркало пассажира левый КЗ цепи на питание
B1642	Зеркало пассажира левый КЗ цепи на массу
B1643	Зеркало пассажира правый отказ цепи
B1644	Зеркало пассажира правый обрыв цепи
B1645	Зеркало пассажира правый КЗ цепи на питание
B1646	Зеркало пассажира правый КЗ цепи на массу
B1647	Сиденье водителя Recline Forward отказ цепи
B1648	Сиденье водителя Recline Forward обрыв цепи
B1649	Сиденье водителя Recline Forward КЗ цепи на питание
B1650	Сиденье водителя Recline Forward КЗ цепи на массу
B1651	Сиденье водителя Recline Backward отказ цепи
B1652	Сиденье водителя Recline Backward обрыв цепи
B1653	Сиденье водителя Recline Backward КЗ цепи на питание
B1654	Сиденье водителя Recline Backward КЗ цепи на массу
B1655	Сиденье водителя задний вверх отказ цепи
B1656	Сиденье водителя задний вверх обрыв цепи
B1657	Сиденье водителя задний вверх КЗ цепи на питание
B1658	Сиденье водителя задний вверх КЗ цепи на массу
B1659	Сиденье водителя передний вверх отказ цепи
B1660	Сиденье водителя передний вверх обрыв цепи
B1661	Сиденье водителя передний вверх КЗ цепи на питание
B1662	Сиденье водителя передний вверх КЗ цепи на массу
B1663	Сиденье водителя передний Up/Down электродвигатель Stalled
B1664	Сиденье водителя задний Up/Down электродвигатель Stalled
B1665	Сиденье водителя Forward/Backward электродвигатель Stalled
B1666	Сиденье водителя Recline электродвигатель Stalled
B1667	Зеркало водителя Up/Down электродвигатель Stalled
B1668	Зеркало водителя Right/Left электродвигатель Stalled
B1669	Зеркало пассажира Up/Down электродвигатель Stalled
B1670	Зеркало пассажира Right/Left электродвигатель Stalled
B1671	АКБ модуль напряжение вне диапазона
B1672	Сиденье водителя Occupied вход отказ цепи
B1673	Сиденье водителя Occupied вход обрыв цепи
B1674	Сиденье водителя Occupied вход КЗ цепи на питание
B1675	Сиденье водителя Occupied вход КЗ цепи на массу
B1676	АКБ Pack напряжение вне диапазона
B1677	Alarm Panic вход отказ цепи
B1678	Alarm Panic вход обрыв цепи
B1679	Alarm Panic вход КЗ цепи на питание
B1680	Alarm Panic вход КЗ цепи на массу
B1681	PATS Transceiver модуль сигнал Not Received
B1682	PATS Disabled (Check Link Between PATS и Transponder)
B1683	Зеркало Driver/Passenger выключатель отказ цепи
B1684	Зеркало Driver/Passenger выключатель обрыв цепи
B1685	Лампа Dome вход отказ цепи
B1686	Лампа Dome вход обрыв цепи
B1687	Лампа Dome вход КЗ цепи на питание
B1688	Лампа Dome вход КЗ цепи на массу
B1689	Autolamp Delay отказ цепи
B1690	Autolamp Delay обрыв цепи
B1691	Autolamp Delay КЗ цепи на питание
B1692	Autolamp Delay КЗ цепи на массу
B1693	Autolamp на отказ цепи
B1694	Autolamp на обрыв цепи
B1695	Autolamp на КЗ цепи на питание
B1696	Autolamp на КЗ цепи на массу
B1697	Зеркало Driver/Passenger выключатель КЗ цепи на питание
B1698	Зеркало Driver/Passenger выключатель КЗ цепи на массу
B1701	Сиденье водителя Recline Forward выключатель отказ цепи
B1702	Сиденье водителя Recline Forward выключатель обрыв цепи
B1703	Сиденье водителя Recline Forward выключатель КЗ цепи на питание
B1704	Сиденье водителя Recline Forward выключатель КЗ цепи на массу
B1705	Сиденье водителя Recline Rearward выключатель отказ цепи
B1706	Сиденье водителя Recline Rearward выключатель обрыв цепи
B1707	Сиденье водителя Recline Rearward выключатель КЗ цепи на питание
B1708	Сиденье водителя Recline Rearward выключатель КЗ цепи на массу
B1709	Сиденье водителя передний вверх выключатель отказ цепи
B1710	Сиденье водителя передний вверх выключатель обрыв цепи
B1711	Сиденье водителя передний вверх выключатель КЗ цепи на питание
B1712	Сиденье водителя передний вверх выключатель КЗ цепи на массу
B1713	Сиденье водителя передний вниз выключатель отказ цепи
B1714	Сиденье водителя передний вниз выключатель обрыв цепи
B1715	Сиденье водителя передний вниз выключатель КЗ цепи на питание
B1716	Сиденье водителя передний вниз выключатель КЗ цепи на массу
B1717	Сиденье водителя Forward выключатель отказ цепи
B1718	Сиденье водителя Forward выключатель обрыв цепи
B1719	Сиденье водителя Forward выключатель КЗ цепи на питание
B1720	Сиденье водителя Forward выключатель КЗ цепи на массу
B1721	Сиденье водителя Rearward выключатель отказ цепи
B1722	Сиденье водителя Rearward выключатель обрыв цепи
B1723	Сиденье водителя Rearward выключатель КЗ цепи на питание
B1724	Сиденье водителя Rearward выключатель КЗ цепи на массу
B1725	Сиденье водителя задний вверх выключатель отказ цепи
B1726	Сиденье водителя задний вверх выключатель обрыв цепи
B1727	Сиденье водителя задний вверх выключатель КЗ цепи на питание
B1728	Сиденье водителя задний вверх выключатель КЗ цепи на массу
B1729	Сиденье водителя задний вниз выключатель отказ цепи
B1730	Сиденье водителя задний вниз выключатель обрыв цепи
B1731	Сиденье водителя задний вниз выключатель КЗ цепи на питание
B1732	Сиденье водителя задний вниз выключатель КЗ цепи на массу
B1733	Зеркало водителя Vertical выключатель отказ цепи
B1734	Зеркало водителя Vertical выключатель обрыв цепи
B1735	Зеркало водителя Vertical выключатель КЗ цепи на питание
B1736	Зеркало водителя Vertical выключатель КЗ цепи на массу
B1737	Зеркало водителя Horizontal выключатель отказ цепи
B1738	Зеркало водителя Horizontal выключатель обрыв цепи
B1739	Зеркало водителя Horizontal выключатель КЗ цепи на питание
B1740	Зеркало водителя Horizontal выключатель КЗ цепи на массу
B1741	Зеркало пассажира Vertical выключатель отказ цепи
B1742	Зеркало пассажира Vertical выключатель обрыв цепи
